Time,X,Y,Z
1585823329647,0.016579669,0.36962909,0.9167581
1585823329697,0.037060436,0.37548074,0.9430905
1585823329771,0.024381867,0.37060437,0.9216345
1585823329835,0.021456042,0.3686538,0.91968393
1585823329901,0.029258238,0.3725549,0.91968393
1585823329967,0.028282965,0.376456,0.9216345
1585823330031,0.037060436,0.37548074,0.9352883
1585823330095,0.024381867,0.3686538,0.9138323
1585823330160,0.03218406,0.376456,0.9323625
1585823330225,0.033159338,0.37060437,0.94114
1585823330292,0.031208787,0.376456,0.9245603
1585823330356,0.03218406,0.37157965,0.9001785
1585823330416,0.027307691,0.3647527,0.9255356
1585823330476,0.035109885,0.37060437,0.95186806
1585823330542,0.04388736,0.38133237,0.97624993
1585823330600,0.024381867,0.3647527,0.902129
1585823330659,0.016579669,0.35597524,0.8787224
1585823330717,-0.0019505492,0.34427196,0.86311805
1585823330783,0.033159338,0.35499996,0.9996565
1585823330851,0.07119504,0.38718402,1.0035576
1585823330917,0.019505491,0.36670327,0.94504106
1585823330981,0.023406591,0.37353018,0.8387361
1585823331042,-0.002925824,0.35012358,0.87969774
1585823331106,0.019505491,0.35597524,0.9333378
1585823331169,0.05656593,0.36670327,1.0230631
1585823331231,0.04388736,0.36670327,0.99770594
1585823331293,0.017554943,0.3491483,0.89042574
1585823331354,0.008777471,0.35207415,0.8621428
1585823331416,0.023406591,0.3452472,0.87189555
1585823331478,0.039010983,0.3569505,1.0055082
1585823331540,0.04486263,0.35890105,1.0308652
1585823331602,0.03998626,0.35987633,0.94114
1585823331663,-0.011703296,0.3423214,0.8621428
1585823331724,-0.009752746,0.33939558,0.81240374
1585823331785,0.002925824,0.33451918,0.9352883
1585823331859,0.0614423,0.37938184,1.040618
1585823331921,0.054615382,0.35987633,1.0064834
1585823331984,-0.014629119,0.32574174,0.87482136
1585823332046,-0.024381867,0.3150137,0.8085027
1585823332114,0.016579669,0.3462225,0.9245603
1585823332176,0.07119504,0.37548074,1.0825548
